tipo_logradouro;logradouro;bairro;numero;complemento;loteamento
RUA;MANOEL TEODORO;TRANCADOR;45;;
TRV;MANOEL TEODORO;TRANCADOR;16;;
TRV;MANOEL TEODORO;TRANCADOR;18;LUIZA MARILAC DOS SANTOS;
TRV;MANOEL TEODORO;TRANCADOR;32;;
TRV;MANOEL TEODORO;TRANCADOR;42;;
TRV;MANOEL TEODORO;TRANCADOR;31;;
TRV;MANOEL TEODORO;TRANCADOR;23;;
TRV;MANOEL TEODORO;TRANCADOR;17;;
RUA;MANOEL TEODORO;TRANCADOR;25;;
RUA;MANOEL TEODORO;TRANCADOR;15;VALDEMAR NEVES;
RUA;MANOEL TEODORO;TRANCADOR;11;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;761;BAR;
AV.;BARAO DO RIO BRANCO;TRANCADOR;759;RESID;
AV.;BARAO DO RIO BRANCO;TRANCADOR;751;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;737;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;737;A ESC PUBL 7 8 70;
AV.;BARAO DO RIO BRANCO;TRANCADOR;699;CENTRO EDUCAÇÃO PROFISSIONAL;
TRV;RAIMUNDINHO;TRANCADOR;629;;
TRV;RAIMUNDINHO;TRANCADOR;22;;
TRV;RAIMUNDINHO;TRANCADOR;26;;
TRV;RAIMUNDINHO;TRANCADOR;44;;
TRV;RAIMUNDINHO;TRANCADOR;94;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.275,00;CLUBE;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.215,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.205,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;;A/C MARIA JULIA DE SOUZA SILVA;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.191,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.175,00;FRENTE;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.175,00;A  - BARRACO  FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.161,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.155,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.073,00;#NOME?;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.145,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.061,00;(SANDRA SALES PINTO);
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.063,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;;GI 0289/04;
AV.;BARAO DO RIO BRANCO;TRANCADOR;;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.097,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.021,00;FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.031,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.017,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.007,00;#NOME?;
AV.;BARAO DO RIO BRANCO;TRANCADOR;985;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;1.001,00;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;22;FUNDOS;
AV.;BARAO DO RIO BRANCO;TRANCADOR;991;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;36;FUNDOS ;
AV.;BARAO DO RIO BRANCO;TRANCADOR;42;;
AV.;BARAO DO RIO BRANCO;TRANCADOR;973;;
